animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,venomous,fins,legs,tail,class_type
aardvark,1,0,0,1,0,0,1,1,1,0,0,4,0,Mammal
antelope,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
bass,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
bear,1,0,0,1,0,0,1,1,1,0,0,4,0,Mammal
boar,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
calf,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
carp,0,0,1,0,0,1,0,1,1,0,1,0,1,Fish
catfish,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
cavy,1,0,0,1,0,0,0,1,1,0,0,4,0,Mammal
cheetah,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
chub,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
crow,0,1,1,0,1,0,1,0,1,0,0,2,1,Bird
deer,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
dogfish,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
dove,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
duck,0,1,1,0,1,1,0,0,1,0,0,2,1,Bird
elephant,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
flamingo,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
flea,0,0,1,0,0,0,0,0,0,0,0,6,0,Bug
frog,0,0,1,0,0,1,1,1,1,0,0,4,0,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,0,4,0,Amphibian
fruitbat,1,0,0,1,1,0,0,1,1,0,0,2,1,Mammal
giraffe,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
girl,1,0,0,1,0,0,1,1,1,0,0,2,0,Mammal
gnat,0,0,1,0,1,0,0,0,0,0,0,6,0,Bug
goat,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,0,0,2,0,Mammal
gull,0,1,1,0,1,1,1,0,1,0,0,2,1,Bird
haddock,0,0,1,0,0,1,0,1,1,0,1,0,1,Fish
hamster,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
hare,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
hawk,0,1,1,0,1,0,1,0,1,0,0,2,1,Bird
herring,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
honeybee,1,0,1,0,1,0,0,0,0,1,0,6,0,Bug
housefly,1,0,1,0,1,0,0,0,0,0,0,6,0,Bug
kiwi,0,1,1,0,0,0,1,0,1,0,0,2,1,Bird
ladybird,0,0,1,0,1,0,1,0,0,0,0,6,0,Bug
lark,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
leopard,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
lion,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
lynx,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
mink,1,0,0,1,0,1,1,1,1,0,0,4,1,Mammal
mole,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
mongoose,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
moth,1,0,1,0,1,0,0,0,0,0,0,6,0,Bug
newt,0,0,1,0,0,1,1,1,1,0,0,4,1,Amphibian
opossum,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
oryx,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
ostrich,0,1,1,0,0,0,0,0,1,0,0,2,1,Bird
parakeet,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
penguin,0,1,1,0,0,1,1,0,1,0,0,2,1,Bird
pheasant,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
pike,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
piranha,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
pitviper,0,0,1,0,0,0,1,1,1,1,0,0,1,Reptile
platypus,1,0,1,1,0,1,1,0,1,0,0,4,1,Mammal
polecat,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
pony,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
porpoise,0,0,0,1,0,1,1,1,1,0,1,0,1,Mammal
puma,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
pussycat,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
raccoon,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
reindeer,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
rhea,0,1,1,0,0,0,1,0,1,0,0,2,1,Bird
seahorse,0,0,1,0,0,1,0,1,1,0,1,0,1,Fish
seal,1,0,0,1,0,1,1,1,1,0,1,0,0,Mammal
sealion,1,0,0,1,0,1,1,1,1,0,1,2,1,Mammal
seasnake,0,0,0,0,0,1,1,1,1,1,0,0,1,Reptile
skimmer,0,1,1,0,1,1,1,0,1,0,0,2,1,Bird
skua,0,1,1,0,1,1,1,0,1,0,0,2,1,Bird
slowworm,0,0,1,0,0,0,1,1,1,0,0,0,1,Reptile
sole,0,0,1,0,0,1,0,1,1,0,1,0,1,Fish
sparrow,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
squirrel,1,0,0,1,0,0,0,1,1,0,0,2,1,Mammal
stingray,0,0,1,0,0,1,1,1,1,1,1,0,1,Fish
swan,0,1,1,0,1,1,0,0,1,0,0,2,1,Bird
termite,0,0,1,0,0,0,0,0,0,0,0,6,0,Bug
toad,0,0,1,0,0,1,0,1,1,0,0,4,0,Amphibian
tortoise,0,0,1,0,0,0,0,0,1,0,0,4,1,Reptile
tuatara,0,0,1,0,0,0,1,1,1,0,0,4,1,Reptile
tuna,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
vampire,1,0,0,1,1,0,0,1,1,0,0,2,1,Mammal
vole,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
vulture,0,1,1,0,1,0,1,0,1,0,0,2,1,Bird
wallaby,1,0,0,1,0,0,0,1,1,0,0,2,1,Mammal
wasp,1,0,1,0,1,0,0,0,0,1,0,6,0,Bug
wolf,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
wren,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird